issue_id,category,severity,report_month,project_id,project_name,column_name,observed_value,description,recommended_action_for_review
DQ-MISSING-STATE-2026-01-612885,MISSING_VALUE,LOW,2026-01,612885,Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra,state,NULL,Blank state cell in raw PDF table (multi-state transmission / telecom project).,"Impute from other months where state is populated as ""Multi-States"" or retain as NULL."
DQ-MISSING-STATE-2026-02-612885,MISSING_VALUE,LOW,2026-02,612885,Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra,state,NULL,Blank state cell in raw PDF table (multi-state transmission / telecom project).,"Impute from other months where state is populated as ""Multi-States"" or retain as NULL."
DQ-MISSING-STATE-2026-03-617272,MISSING_VALUE,LOW,2026-03,617272,Implementation of LILO of both circuits of 400KV vindhyachal PS-Sasan D/C Line at Hindalco Switchyard,state,NULL,Blank state cell in raw PDF table (multi-state transmission / telecom project).,"Impute from other months where state is populated as ""Multi-States"" or retain as NULL."
DQ-MISSING-START_DATE-2026-05,MISSING_VALUE,MEDIUM,2026-05,"706965, 706966, 707016, 707017, 707018",11 newly added projects missing start_date,start_date,NULL,11 newly sanctioned projects in 2026-05 do not yet have start dates or target completion dates populated in raw MoSPI disclosures.,"Flag for review. When calculating duration features, handle missing start dates without dropping the project."
DQ-MISSING-ORIGINAL_DOC-2026-05,MISSING_VALUE,MEDIUM,2026-05,"706965, 706966, 707016, 707017, 707018",11 newly added projects missing original_doc,original_doc,NULL,11 newly sanctioned projects in 2026-05 do not yet have start dates or target completion dates populated in raw MoSPI disclosures.,"Flag for review. When calculating duration features, handle missing start dates without dropping the project."
DQ-MISSING-REVISED_DOC,SPECIAL_VALUE_UNREVISED,INFO,ALL,MULTIPLE,3965 records without revised DoC,revised_doc,"NULL (raw: ""-"")",3965 records have no revised completion date. Raw data displays '-'. Indicates project is either on original schedule or pending formal revision approval.,"Preserve NULL. In ML labeling, if revised_doc is NULL, compare original_doc against actual outcome."
DQ-DUP-CHECK-MONTH,DUPLICATE_CHECK,INFO,ALL,NONE,All projects,project_id,0 duplicates,"Zero duplicate project IDs within any single monthly report month across all 14,573 records.","No action needed. Panel key (report_month, project_id) is strictly unique."
DQ-NEG-EXP-2026-01-618930,NEGATIVE_EXPENDITURE,HIGH,2026-01,618930,4L PS from Ch. 94.030 in Jabugam Village to Ch. 132.320 in Dhamasiya Village of NH-56 Pkg-III,cumulative_expenditure,-4.88,Negative cumulative expenditure of ₹-4.88 Cr reported in official MoSPI report (likely credit/debit adjustment or accounting reversal).,Review accounting reversal. Decide whether to clamp to 0.0 or treat as an expenditure adjustment signal.
DQ-NEG-EXP-2026-01-619065,NEGATIVE_EXPENDITURE,HIGH,2026-01,619065,4L Expressway from Km 26.400 to km 53.500 of Malur to Bangarpet section of Bangalore-Chennai Expressway Phase-I Package-II,cumulative_expenditure,-54.57,Negative cumulative expenditure of ₹-54.57 Cr reported in official MoSPI report (likely credit/debit adjustment or accounting reversal).,Review accounting reversal. Decide whether to clamp to 0.0 or treat as an expenditure adjustment signal.
DQ-NEG-EXP-2026-01-619121,NEGATIVE_EXPENDITURE,HIGH,2026-01,619121,4L of Hubli - Hospet Section of NH-63 from Km 128.850 to Km 272.571,cumulative_expenditure,-5.15,Negative cumulative expenditure of ₹-5.15 Cr reported in official MoSPI report (likely credit/debit adjustment or accounting reversal).,Review accounting reversal. Decide whether to clamp to 0.0 or treat as an expenditure adjustment signal.
