feature_name,category,data_type,formula_or_derivation,description,source_table_and_column,recommended_for_mvp,handling_of_missing_values
project_id,Identifier,string,Official MoSPI Project ID,Unique identifier for the infrastructure project,Table 6: project_id,Metadata,None (Key)
project_name,Identifier,string,Official Project Title,Full project name from MoSPI reports,Table 6: project_name,Metadata,None
snapshot_month,Temporal/Metadata,string,YYYY-MM of Table 6 observation,Month of the monitoring report snapshot used for prediction (T-2),Table 6: report_month,Metadata,None
ministry,Static,categorical,Direct extraction,Central Government Ministry sponsoring the project,Table 6: ministry,Yes,"Impute ""Unknown"""
sector,Static,categorical,Direct extraction,"Sector classification (Railways, Road Transport, Power, etc.)",Table 6: sector,Yes,"Impute ""Unknown"""
implementing_agency,Static,categorical,Direct extraction,Public sector agency or authority executing the project,Table 6: implementing_agency,Yes,"Impute ""Unknown"""
state,Static,categorical,Direct extraction,State/UT where project is physically executed,Table 6: state,Yes,"Impute ""Unknown"""
original_cost,Static/Financial,numeric,Direct extraction,Original sanctioned project cost in INR Crores,Table 6: original_cost,Yes,None missing
approval_to_start_months,Static/Schedule,numeric,start_date - date_of_approval,Pre-construction lead time between approval and ground start in months,"Table 6: date_of_approval, start_date",Yes,Median imputation or indicator flag
cumulative_expenditure,Financial,numeric,Direct extraction at snapshot,Total funds disbursed up to the T-2 snapshot in INR Crores,Table 6: cumulative_expenditure,Yes,None missing
expenditure_percent_of_original_cost,Financial,numeric,(cumulative_expenditure / original_cost) * 100,Financial budget utilization percentage at snapshot,"Table 6: cumulative_expenditure, original_cost",Yes,None missing
monthly_expenditure_change,Financial/Trend,numeric,expenditure(T-2) - expenditure(T-3),Net capital expenditure disbursed during the month preceding snapshot,Table 6: cumulative_expenditure,Yes,Median imputation + missing_previous_month_flag
monthly_expenditure_growth_pct,Financial/Trend,numeric,((exp(T-2) - exp(T-3)) / exp(T-3)) * 100,Percentage growth rate in cumulative expenditure over prior month,Table 6: cumulative_expenditure,Yes,Median imputation + missing_previous_month_flag
physical_progress_pct,Physical,numeric,Direct extraction at snapshot,Reported cumulative physical progress percentage at T-2 snapshot,Table 6: physical_progress_pct,Yes,None missing
