feature_name,data_type,feature_type,required,missing_value_handling,model_usage,description
original_cost,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Original sanctioned project cost in INR Crores
approval_to_start_months,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Pre-construction lead time between approval and ground start in months
cumulative_expenditure,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Total funds disbursed up to the T-2 snapshot in INR Crores
expenditure_percent_of_original_cost,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Financial budget utilization percentage at snapshot
monthly_expenditure_change,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Net capital expenditure disbursed during the month preceding snapshot
monthly_expenditure_growth_pct,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Percentage growth rate in cumulative expenditure over prior month
physical_progress_pct,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Reported cumulative physical progress percentage at T-2 snapshot
monthly_progress_change,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Percentage points of physical progress completed in month prior to snapshot
progress_growth_rate,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Relative percentage growth in cumulative physical progress
planned_duration_months,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Total planned duration sanctioned at project inception in months
elapsed_months,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Actual calendar months elapsed since ground start up to snapshot
remaining_planned_months,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Months remaining until original deadline (negative if already past)
elapsed_duration_ratio,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Ratio of timeline elapsed to original planned duration
is_past_original_doc,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Indicator whether project has already exceeded original scheduled deadline at T-2
efficiency_gap,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Difference between physical delivery % and financial utilization %
cost_physical_ratio,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Capital expenditure consumed per unit percentage of physical completion
expected_progress_pct,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Analytical linear planned progress benchmark derived from original schedule
progress_gap_pct_points,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Progress delivery gap relative to analytical linear baseline
months_since_first_observation,integer,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Number of months project has been monitored in our dataset prior to snapshot
observation_count_to_date,integer,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Total number of monthly monitoring records available for project <= T-2
physical_progress_1_month_change,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),1-month change in physical progress
physical_progress_2_month_change,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),2-month change in physical progress
expenditure_1_month_change,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),1-month change in cumulative expenditure
expenditure_2_month_change,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),2-month change in cumulative expenditure
progress_trend_slope,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Average monthly progress rate over monitored window
expenditure_trend_slope,float,numerical,Yes (Optional in payload if handled by pipeline imputer),Median imputation fitted on training data,SAFE_MVP (Primary Model Input),Average monthly capital spend rate over monitored window
negative_expenditure_flag,integer,numerical,Yes (Optional in payload if handled by pipeline imputer),Zero imputation (default 0),SAFE_MVP (Primary Model Input),Flags negative expenditure accounting anomalies
missing_previous_month_flag,integer,numerical,Yes (Optional in payload if handled by pipeline imputer),Zero imputation (default 0),SAFE_MVP (Primary Model Input),Flags whether prior-month observation was unavailable
invalid_duration_flag,integer,numerical,Yes (Optional in payload if handled by pipeline imputer),Zero imputation (default 0),SAFE_MVP (Primary Model Input),Flags projects where original duration is invalid/zero/negative
past_original_doc_flag,integer,numerical,Yes (Optional in payload if handled by pipeline imputer),Zero imputation (default 0),SAFE_MVP (Primary Model Input),Flags projects already in schedule overrun at snapshot
missing_key_date_flag,integer,numerical,Yes (Optional in payload if handled by pipeline imputer),Zero imputation (default 0),SAFE_MVP (Primary Model Input),Flags projects missing milestone baseline dates
suspicious_value_flag,integer,numerical,Yes (Optional in payload if handled by pipeline imputer),Zero imputation (default 0),SAFE_MVP (Primary Model Input),Flags physical progress >100% or extreme expenditure ratios
ministry,string,categorical,Yes (Optional in payload if handled by pipeline imputer),Constant imputation with 'Unknown' + OneHotEncoder(handle_unknown='ignore'),SAFE_MVP (Primary Model Input),Central Government Ministry sponsoring the project
sector,string,categorical,Yes (Optional in payload if handled by pipeline imputer),Constant imputation with 'Unknown' + OneHotEncoder(handle_unknown='ignore'),SAFE_MVP (Primary Model Input),"Sector classification (Railways, Road Transport, Power, etc.)"
implementing_agency,string,categorical,Yes (Optional in payload if handled by pipeline imputer),Constant imputation with 'Unknown' + OneHotEncoder(handle_unknown='ignore'),SAFE_MVP (Primary Model Input),Public sector agency or authority executing the project
state,string,categorical,Yes (Optional in payload if handled by pipeline imputer),Constant imputation with 'Unknown' + OneHotEncoder(handle_unknown='ignore'),SAFE_MVP (Primary Model Input),State/UT where project is physically executed
